referrer_id,referee_id,cluster_id
u_d0fd40511d,u_182c39a6f9,ring_0
u_d0fd40511d,u_beb6812898,ring_0
u_d0fd40511d,u_e11c2da9cf,ring_0
u_7bafed4a6d,u_9afc0d79a2,ring_1
u_7bafed4a6d,u_4d8fa44cde,ring_1
u_7bafed4a6d,u_be817711e0,ring_1
u_7bafed4a6d,u_099aa05580,ring_1
u_7bafed4a6d,u_21058763eb,ring_1
u_7bafed4a6d,u_ecc9c67081,ring_1
u_7bafed4a6d,u_2928833ae5,ring_1
u_7bafed4a6d,u_989b494b26,ring_1
u_7bafed4a6d,u_612f1d4fe4,ring_1
u_7bafed4a6d,u_e3c296b9fa,ring_1
u_56dce2a511,u_7f2c7a6082,ring_2
u_56dce2a511,u_104a3d229c,ring_2
u_56dce2a511,u_9dc90e9fac,ring_2
u_56dce2a511,u_5b6785d517,ring_2
u_56dce2a511,u_1db508b3c3,ring_2
u_56dce2a511,u_bbf29afce8,ring_2
u_56dce2a511,u_920f97546e,ring_2
u_56dce2a511,u_5eda414ee2,ring_2
u_56dce2a511,u_36e73dde35,ring_2
u_56dce2a511,u_67fcb0f33c,ring_2
u_56dce2a511,u_bfb477192d,ring_2
u_56dce2a511,u_36300e4ab8,ring_2
u_6408670429,u_8066d69e3f,ring_3
u_6408670429,u_132beba054,ring_3
u_6408670429,u_d8717f7659,ring_3
u_6408670429,u_400d365e16,ring_3
u_6408670429,u_29c5e6d9c0,ring_3
u_6408670429,u_ed7900bd53,ring_3
u_4f58b6dee4,u_938167939f,ring_4
u_4f58b6dee4,u_acf5377e4a,ring_4
u_4f58b6dee4,u_46f6f5258f,ring_4
u_4f58b6dee4,u_4051b3e4db,ring_4
u_4f58b6dee4,u_c88b8eeebd,ring_4
u_4f58b6dee4,u_8268a445cc,ring_4
u_4f58b6dee4,u_c81d540b2a,ring_4
u_4f58b6dee4,u_5175e09a1a,ring_4
u_4f58b6dee4,u_694263804e,ring_4
u_4f58b6dee4,u_aa055468d8,ring_4
u_7d3dbecf29,u_86b86b62a4,ring_5
u_7d3dbecf29,u_98b002a08d,ring_5
u_7d3dbecf29,u_82ed7c1683,ring_5
u_fffb66f139,u_78ee14e35f,ring_6
u_fffb66f139,u_286c1d6722,ring_6
u_fffb66f139,u_51b0eeb78f,ring_6
u_fffb66f139,u_1d79391758,ring_6
u_fffb66f139,u_dbd5f92b0a,ring_6
u_fffb66f139,u_505bd550eb,ring_6
u_fffb66f139,u_c4606f0a42,ring_6
u_fffb66f139,u_621bbbb067,ring_6
u_fffb66f139,u_1883207a17,ring_6
u_fffb66f139,u_d1af9704c5,ring_6
u_ba1015da4a,u_174dc111be,ring_7
u_ba1015da4a,u_c1e778c70b,ring_7
u_ba1015da4a,u_95e1933a27,ring_7
u_ba1015da4a,u_7446cd4aee,ring_7
u_ba1015da4a,u_1e5b7be8d4,ring_7
u_ba1015da4a,u_b2bf0eaf6b,ring_7
u_ba1015da4a,u_9f46901fdf,ring_7
u_8699f32dcf,u_07a3dbbba7,ring_8
u_8699f32dcf,u_81245d8a2a,ring_8
u_8699f32dcf,u_2fd42fbf44,ring_8
u_8699f32dcf,u_237953255d,ring_8
u_c207dd1240,u_415b7ccc92,ring_9
u_c207dd1240,u_205942caff,ring_9
u_c207dd1240,u_9ef24daf70,ring_9
u_c207dd1240,u_f8f14fc519,ring_9
u_c207dd1240,u_caf398517c,ring_9
u_c207dd1240,u_1c5a1387b4,ring_9
u_c207dd1240,u_7daf8d17d1,ring_9
u_c207dd1240,u_c3cdf76ab5,ring_9
u_c207dd1240,u_93b45b6523,ring_9
u_6aad02d17e,u_7464d7e0ff,ring_10
u_6aad02d17e,u_a52c65017c,ring_10
u_6aad02d17e,u_6ffed35d85,ring_10
u_6aad02d17e,u_19dc76c3ba,ring_10
u_6aad02d17e,u_ee98582190,ring_10
u_6aad02d17e,u_92ae689543,ring_10
u_741d58a766,u_76843f12d1,ring_11
u_741d58a766,u_e4da6c2b56,ring_11
u_741d58a766,u_f512ae27db,ring_11
u_741d58a766,u_c67ec179b0,ring_11
u_741d58a766,u_009715b06e,ring_11
u_87f9970bb6,u_8618b3f080,ring_12
u_87f9970bb6,u_d18005c8ac,ring_12
u_87f9970bb6,u_0e6f89c325,ring_12
u_87f9970bb6,u_466d5c850f,ring_12
u_87f9970bb6,u_6b025b005e,ring_12
u_87f9970bb6,u_879af303fe,ring_12
u_87f9970bb6,u_bbf4e48929,ring_12
u_87f9970bb6,u_5a9c1a4553,ring_12
u_d01d1915d5,u_7852148a1d,ring_13
u_d01d1915d5,u_5f77789f0e,ring_13
u_d01d1915d5,u_382f69735a,ring_13
u_d01d1915d5,u_f6b4ef3a1f,ring_13
u_d01d1915d5,u_edba807f00,ring_13
u_d01d1915d5,u_4b793159d4,ring_13
u_d01d1915d5,u_d026c74fa5,ring_13
u_d01d1915d5,u_bc23eaa594,ring_13
u_22da756027,u_3f3711db4a,ring_14
u_22da756027,u_b762597f94,ring_14
u_22da756027,u_f72d0fb689,ring_14
u_22da756027,u_b7ed1aa8f2,ring_14
u_c0e41c27b2,u_bb7e9ee9c3,ring_15
u_c0e41c27b2,u_e9552631fc,ring_15
u_c0e41c27b2,u_2038222ded,ring_15
u_b71572e951,u_5835066576,ring_16
u_b71572e951,u_d91f915673,ring_16
u_b71572e951,u_7232e8b234,ring_16
u_b71572e951,u_cb39242fd7,ring_16
u_f3df97b0fc,u_5b9b403f66,ring_17
u_f3df97b0fc,u_4f2ac9aba3,ring_17
u_f3df97b0fc,u_0074c40736,ring_17
u_f3df97b0fc,u_ce25841f2a,ring_17
u_f3df97b0fc,u_d209c76d84,ring_17
u_f3df97b0fc,u_2d3a04c992,ring_17
u_f3df97b0fc,u_6c24184efa,ring_17
u_f3df97b0fc,u_d2fbe9ed99,ring_17
u_f3df97b0fc,u_154a6f614e,ring_17
u_f3df97b0fc,u_67a8f9b78c,ring_17
u_e6abd44d91,u_9b636c4b82,ring_18
u_e6abd44d91,u_23e48d63d6,ring_18
u_e6abd44d91,u_ab98c2d7e4,ring_18
u_e6abd44d91,u_6e35bbb544,ring_18
u_db6900e67e,u_6e95adb134,ring_19
u_db6900e67e,u_47b44d9978,ring_19
u_db6900e67e,u_0e2fdb97e1,ring_19
u_db6900e67e,u_1be40aac99,ring_19
u_db6900e67e,u_f3ab112fe7,ring_19
u_db6900e67e,u_463514f029,ring_19
u_db6900e67e,u_a4ae6d3b3e,ring_19
u_db6900e67e,u_dd648768a8,ring_19
u_db6900e67e,u_6294c12398,ring_19
u_db6900e67e,u_9b207d17c2,ring_19
u_db6900e67e,u_acb3f025d8,ring_19
u_db1b19c7ac,u_1dc7440b93,ring_20
u_db1b19c7ac,u_45ef585d70,ring_20
u_db1b19c7ac,u_9743df252a,ring_20
u_db1b19c7ac,u_e16432b0aa,ring_20
u_db1b19c7ac,u_f416688159,ring_20
u_db1b19c7ac,u_cb1b9f0298,ring_20
u_f911510383,u_32ffbe99e1,ring_21
u_f911510383,u_c366ca1b08,ring_21
u_f911510383,u_a5b155f68b,ring_21
u_f911510383,u_d44508587c,ring_21
u_e9b2666c72,u_792e901d96,ring_22
u_e9b2666c72,u_d8d465ef2e,ring_22
u_e9b2666c72,u_17581cebcb,ring_22
u_e9b2666c72,u_5f1e3f332a,ring_22
u_e9b2666c72,u_55d12601f6,ring_22
u_e9b2666c72,u_82c14ba8ee,ring_22
u_e9b2666c72,u_33ec422161,ring_22
u_e9b2666c72,u_bf0e5a0043,ring_22
u_8692cf7122,u_c115dacfed,ring_23
u_8692cf7122,u_db6212ded3,ring_23
u_8692cf7122,u_d63147c7a2,ring_23
u_8692cf7122,u_2bf18964eb,ring_23
u_8692cf7122,u_1e70ed7553,ring_23
u_8692cf7122,u_c1f456f0a8,ring_23
u_8692cf7122,u_e73d591f63,ring_23
u_8692cf7122,u_ce63563a00,ring_23
u_8692cf7122,u_a4d7d2e5d6,ring_23
u_8692cf7122,u_5902357240,ring_23
u_8692cf7122,u_dd956863b3,ring_23
u_8bb9f2ed0f,u_7d838820f2,ring_24
u_8bb9f2ed0f,u_0b4ce083c1,ring_24
u_8bb9f2ed0f,u_b40fc4970c,ring_24
u_8bb9f2ed0f,u_5a399b5379,ring_24
u_8bb9f2ed0f,u_97f9fbca3e,ring_24
u_8bb9f2ed0f,u_38464181f4,ring_24
u_8bb9f2ed0f,u_a887180f0b,ring_24
u_8bb9f2ed0f,u_59ce6aaf8d,ring_24
u_8bb9f2ed0f,u_bef3cc8001,ring_24
u_8bb9f2ed0f,u_e6f63c5b05,ring_24
u_8bb9f2ed0f,u_0bd38c4ef3,ring_24
u_8bb9f2ed0f,u_6050c4fc0b,ring_24
u_4bcfee9398,u_4fca2c98cb,ring_25
u_4bcfee9398,u_ccabb4cd5f,ring_25
u_4bcfee9398,u_cd00498f72,ring_25
u_4bcfee9398,u_46a02947c6,ring_25
u_4bcfee9398,u_0618c3e318,ring_25
u_4bcfee9398,u_a19aff90cd,ring_25
u_0346e74630,u_73b2174967,ring_26
u_0346e74630,u_b4e3319141,ring_26
u_0346e74630,u_53245c1f98,ring_26
u_0346e74630,u_c1856c8c88,ring_26
u_0346e74630,u_728a93f12e,ring_26
u_0346e74630,u_085a943d96,ring_26
u_0346e74630,u_ddb6d69e02,ring_26
u_0346e74630,u_da087a2948,ring_26
u_8ac1bfdca6,u_83c9c8adbf,ring_27
u_8ac1bfdca6,u_21940fa353,ring_27
u_8ac1bfdca6,u_5774dc2880,ring_27
u_8ac1bfdca6,u_5d0c24a80d,ring_27
u_8ac1bfdca6,u_0e21b3002d,ring_27
u_8ac1bfdca6,u_0107fe0f48,ring_27
u_8ac1bfdca6,u_1b1e980d49,ring_27
u_8ac1bfdca6,u_04ee49a57c,ring_27
u_8ac1bfdca6,u_2d4fbd6706,ring_27
u_8ac1bfdca6,u_9f58300dee,ring_27
u_8ac1bfdca6,u_c49c1aaca0,ring_27
u_d6622c86f8,u_fdfd53bf60,ring_28
u_d6622c86f8,u_f6d2c804ca,ring_28
u_d6622c86f8,u_f7401b1e74,ring_28
u_d6622c86f8,u_e914942baf,ring_28
u_d6622c86f8,u_418680dc77,ring_28
u_d6622c86f8,u_2278dd0065,ring_28
u_d6622c86f8,u_5a67b94206,ring_28
u_d6622c86f8,u_26d5e90f18,ring_28
u_623e36e1fe,u_cd63c5fbff,ring_29
u_623e36e1fe,u_1e9f7ec531,ring_29
u_623e36e1fe,u_3eb609a8cf,ring_29
u_623e36e1fe,u_7ba73d2b88,ring_29
u_623e36e1fe,u_5eff436680,ring_29
u_623e36e1fe,u_6b2afd981f,ring_29
u_8f2e5388b6,u_e6b9a6ed28,ring_30
u_8f2e5388b6,u_60f5db8572,ring_30
u_8f2e5388b6,u_092ee7b921,ring_30
u_8f2e5388b6,u_be61596ed0,ring_30
u_8f2e5388b6,u_2aeaebfff1,ring_30
u_8f2e5388b6,u_e737050055,ring_30
u_8f2e5388b6,u_9ebf93cc77,ring_30
u_8f2e5388b6,u_18f44f5177,ring_30
u_8f2e5388b6,u_0899ed02e2,ring_30
u_82957da902,u_cdef84ee52,ring_31
u_82957da902,u_352e3f1f7d,ring_31
u_82957da902,u_2ab5fe0894,ring_31
u_82957da902,u_1366a02933,ring_31
u_08ec4420c9,u_f4387d9585,ring_32
u_08ec4420c9,u_230216a5f4,ring_32
u_08ec4420c9,u_92a2abf8d1,ring_32
u_08ec4420c9,u_d0f08cadf7,ring_32
u_08ec4420c9,u_801bc3be37,ring_32
u_840215035d,u_98923a2f09,ring_33
u_840215035d,u_dad0652c06,ring_33
u_840215035d,u_c6ef3168fc,ring_33
u_840215035d,u_fd658ba215,ring_33
u_840215035d,u_36954e00c5,ring_33
u_840215035d,u_4d71e71cea,ring_33
u_840215035d,u_fb9904de5d,ring_33
u_840215035d,u_8ffbcf592e,ring_33
u_088834f842,u_f7e9e98e2f,ring_34
u_088834f842,u_4f7c8e18ae,ring_34
u_088834f842,u_6259087159,ring_34
u_088834f842,u_53c11f43a8,ring_34
u_088834f842,u_da5014876d,ring_34
u_088834f842,u_989a7cd946,ring_34
u_088834f842,u_e165ff160b,ring_34
u_3ee775debf,u_790a7fae2f,ring_35
u_3ee775debf,u_4b1edcb9bb,ring_35
u_3ee775debf,u_614037c164,ring_35
u_3ee775debf,u_288683b700,ring_35
u_97d82e95fd,u_b25357f7e8,ring_36
u_97d82e95fd,u_4842034494,ring_36
u_97d82e95fd,u_0b5fd6485c,ring_36
u_97d82e95fd,u_b95ee186f6,ring_36
u_97d82e95fd,u_e9c2d96913,ring_36
u_97d82e95fd,u_e5bf9c50d2,ring_36
u_97d82e95fd,u_0ae9065e84,ring_36
u_97d82e95fd,u_a5bccd36b9,ring_36
u_97d82e95fd,u_7a512563ba,ring_36
u_97d82e95fd,u_7951e85158,ring_36
u_41ab8bde10,u_bc8cee49e4,ring_37
u_41ab8bde10,u_f7b4041f04,ring_37
u_41ab8bde10,u_e9ba2eb448,ring_37
u_41ab8bde10,u_e5e99f5a84,ring_37
u_572f4826b1,u_d1d28d0214,ring_38
u_572f4826b1,u_aee4575288,ring_38
u_572f4826b1,u_668d4d7699,ring_38
u_572f4826b1,u_ab62e60a6d,ring_38
u_572f4826b1,u_2739d91c58,ring_38
